id,population,name,dosesAdministered,peopleVaccinated,completedVaccination,boosterDosesAdministered
ABW,112000,Aruba,161643,83640,78003,
AFG,37209000,Afghanistan,5116767,4285440,3454113,
AGO,30128000,Angola,9026310,6266044,2760266,
AIA,15000,Anguilla,19730,9911,9156,663
ALB,2870000,Albania,2096897,1071871,959555,65471
AND,77000,Andorra,104534,54999,49535,
ARE,10749000,UAE,21895945,9801529,8832256,2914743
ARG,44939000,Argentina,68501283,36666900,30026688,1986191
ARM,2969000,Armenia,1217391,781011,436380,
ATG,97000,Antigua and Barbuda,117637,61418,56219,
AUS,25522000,Australia,39294041,20025197,18808812,448945
AUT,8859000,Austria,13939111,6347150,5958554,1972260
AZE,9982000,Azerbaijan,10527605,5079349,4566911,881345
BEL,11456000,Belgium,18797081,8832155,8689751,1590175
BEN,11814000,Benin,383501,339452,297726,
BFA,20326000,Burkina Faso,661796,442769,297231,
BGD,166586000,Bangladesh,98566118,59839716,36595129,
BGR,6951000,Bulgaria,3330515,1832182,1772220,
BHR,1484000,Bahrain,2936188,1188539,1159574,
BHS,381000,Bahamas,280176,151709,138266,
BIH,3301000,Bosnia and Herzegovina,1553874,833233,720641,
BLR,9475000,Belarus,5975709,3415261,2560448,
BLZ,408000,Belize,407766,227942,193188,
BMU,63000,Bermuda,101341,48464,47365,5512
BOL,11550000,Bolivia,8609848,5032809,3948592,360843
BRA,210147000,Brazil,309486607,163926497,148468898,16537956
BRB,287000,Barbados,290345,153586,136759,
BRN,460000,Brunei,751178,403405,347773,
BTN,745000,Bhutan,1153283,589141,564142,
BWA,2377000,Botswana,1352557,1016989,469369,
CAF,4745000,Central African Republic,422496,362298,321982,
CAN,37527000,Canada,60741598,29999200,28876084,
CAN-AB,4355328,Alberta,6890791,3321931,3125460,
CAN-BC,5081679,British Columbia,8688112,4185544,4019104,
CAN-MB,1367242,Manitoba,2173874,1056316,1020089,
CAN-NB,775894,New Brunswick,1265542,644881,608087,
CAN-NL,524156,Newfoundland and Labrador,906175,457061,433648,
CAN-NS,968539,Nova Scotia,1638694,821401,785592,
CAN-NT,45110,Northwest Territories,86566,31696,30197,
CAN-NU,38531,Nunavut,51224,26819,23652,
CAN-ON,14519618,Ontario,22978037,11598644,11207402,
CAN-PE,156668,Prince Edward Island,277276,136998,131470,
CAN-QC,8488577,Quebec,13871847,6815304,6640359,
CAN-SK,1171580,Saskatchewan,1837877,869001,818946,
CAN-YT,41283,Yukon,75583,33604,32078,
CHE,8545000,Switzerland,11914527,5846878,5700793,
CHE-LIE,,Liechtenstein,51118,25726,25039,
CHL,19107000,Chile,40833753,16854840,16114719,8437206
CHN,1400050000,Mainland China,2507975000,1225000000,1110506000,
CIV,26275000,Ivory Coast,3845788,2669432,1176366,
CMR,25506000,Cameroon,953375,777338,595316,
COD,97879000,DR Congo,193416,142913,56167,
COG,4568000,Republic of the Congo,651411,521700,129711,
COL,50374000,Colombia,57087983,37039263,24478676,
COM,874000,Comoros,523256,281946,241310,
CPV,550000,Cape Verde,544075,296998,246960,
CRI,5075000,Costa Rica,7137983,3887480,3215091,35412
CUB,11333000,Cuba,28402651,10163695,9195366,
CUW,163000,Curaçao,197871,102802,95069,
CYM,65000,Cayman Islands,123877,57952,55829,
CYP,876000,Cyprus,1310756,621701,583001,106054
CZE,10650000,Czech Republic,13509070,6654320,6366599,874905
DEU,83093000,Germany,123348281,59407188,57024545,10377200
DJI,1078000,Djibouti,99679,73592,26087,
DMA,71000,Dominica,55524,28764,26760,
DNK,5806000,Denmark,9791522,4565137,4454053,818881
DOM,10358000,Dominican Republic,13816937,6871684,5592459,1334488
DZA,43424000,Algeria,12076870,6716299,5340231,20340
ECU,17268000,Ecuador,24984734,13578520,11164005,
EGY,99333000,Egypt,39914919,25438500,15271388,
ESP,46486000,Spain,76485574,38339403,37615143,4943463
EST,1325000,Estonia,1656161,828162,788863,
ETH,96586000,Ethiopia,9310295,7864977,1445318,
FIN,5518000,Finland,8594817,4289256,4179016,
FJI,895000,Fiji,1237108,651320,585788,
FLK,3000,Falkland Islands,4407,2632,1775,
FRA,64822000,France,105838515,51971769,51271876,8164800
FRO,49000,Faroe Islands,78347,40205,38142,
FSM,104000,Micronesia,80049,47603,,
GAB,2080000,Gabon,277979,166353,111626,
GBR,66797000,U.K.,116001687,50994257,46399306,15580605
GBR-ENG,56286961,England,97296577,42806590,38909382,15580605
GBR-LON,8961989,London,13577715,6167729,5594785,1815201
GBR-NIR,1893667,Northern Ireland,3048854,1370570,1272784,
GBR-SCT,5463300,Scotland,10021469,4347880,3951364,
GBR-WLS,3152879,Wales,5634787,2469217,2265776,
GEO,3724000,Georgia,2183335,1181534,1001801,
GGY,,Guernsey,104131,,,
GHA,30168000,Ghana,3493688,2651463,842225,
GIB,34000,Gibraltar,98034,40914,39819,17301
GIN,13627000,Guinea,2566333,1658464,907869,
GMB,2349000,Gambia,268008,236834,222890,
GNB,1776000,Guinea-Bissau,368395,349317,19078,
GNQ,1360000,Equatorial Guinea,445684,247515,198169,
GRC,10725000,Greece,14406712,7047414,6606015,1370818
GRD,109000,Grenada,74708,40353,34355,
GRL,57000,Greenland,102357,70943,37431,
GTM,17613000,Guatemala,10070646,5957797,4043359,
GUY,785000,Guyana,678619,400561,278058,
HKG,7521000,Hong Kong,9463529,4758252,4535760,
HND,9770000,Honduras,7960942,4395843,3928749,
HRV,4068000,Croatia,4131685,2180860,1937416,
HTI,11263000,Haiti,184769,118222,66888,
HUN,9773000,Hungary,14282270,6132549,5847405,2515398
IDN,266912000,Indonesia,237387197,138530231,94339737,
IMN,85000,Isle of Man,154705,68304,64827,
IND,1367600000,India,1249869106,789054196,448000946,
