id,date,value
ABW,2021-02-25,12
ABW,2021-03-02,4902
ABW,2021-03-17,11500
ABW,2021-04-07,33493
ABW,2021-04-21,48254
ABW,2021-04-26,62343
ABW,2021-05-03,74747
ABW,2021-05-10,78930
ABW,2021-05-19,84428
ABW,2021-05-24,95997
ABW,2021-05-31,111573
ABW,2021-06-08,116549
ABW,2021-06-14,118327
AFG,2021-03-15,45000
AFG,2021-04-21,206500
AFG,2021-04-23,250169
AFG,2021-04-26,296163
AFG,2021-04-29,334644
AFG,2021-05-04,406850
AFG,2021-05-10,484692
AFG,2021-05-13,504502
AFG,2021-05-21,547901
AFG,2021-05-24,573277
AFG,2021-05-26,590454
AFG,2021-05-29,593313
AFG,2021-05-31,600152
AFG,2021-06-02,626290
AFG,2021-06-07,630305
AFG,2021-06-08,641295
AFG,2021-06-14,662003
AGO,2021-03-10,3312
AGO,2021-03-11,19076
AGO,2021-03-12,24000
AGO,2021-03-13,34260
AGO,2021-03-16,41632
AGO,2021-03-23,71378
AGO,2021-03-24,76006
AGO,2021-03-29,117763
AGO,2021-03-30,130750
AGO,2021-04-04,140451
AGO,2021-04-07,181578
AGO,2021-04-10,245442
AGO,2021-04-20,395447
AGO,2021-04-25,446349
AGO,2021-04-27,475116
AGO,2021-05-02,524298
AGO,2021-05-11,614184
AGO,2021-05-13,626572
AGO,2021-05-15,669962
AGO,2021-05-18,696155
AGO,2021-05-20,734113
AGO,2021-05-21,757535
AGO,2021-05-25,821932
AGO,2021-05-31,909215
AGO,2021-06-03,1379053
AGO,2021-06-05,1428671
AGO,2021-06-08,1474670
AGO,2021-06-09,1544326
AGO,2021-06-15,1842289
AIA,2021-02-18,1341
AIA,2021-02-20,2762
AIA,2021-02-27,3929
AIA,2021-03-06,4493
AIA,2021-03-10,4700
AIA,2021-03-13,5022
AIA,2021-03-20,5348
AIA,2021-03-29,5568
AIA,2021-04-08,5770
AIA,2021-04-12,5835
AIA,2021-04-15,5867
AIA,2021-04-18,6062
AIA,2021-04-20,6898
AIA,2021-04-27,8034
AIA,2021-04-30,8242
AIA,2021-05-02,8611
AIA,2021-05-04,8925
AIA,2021-05-10,10180
AIA,2021-05-19,12795
AIA,2021-05-24,13855
AIA,2021-05-31,14443
AIA,2021-06-08,14557
AIA,2021-06-14,14937
ALB,2021-01-14,128
ALB,2021-01-15,266
ALB,2021-01-18,447
ALB,2021-01-19,483
ALB,2021-01-22,549
ALB,2021-01-24,572
ALB,2021-01-26,602
ALB,2021-01-27,620
ALB,2021-01-28,632
ALB,2021-01-29,662
ALB,2021-02-01,668
ALB,2021-02-02,730
ALB,2021-02-04,809
ALB,2021-02-05,869
ALB,2021-02-06,947
ALB,2021-02-09,1079
ALB,2021-02-10,1127
ALB,2021-02-12,1199
ALB,2021-02-15,1247
ALB,2021-02-17,1701
ALB,2021-02-19,4177
ALB,2021-02-22,6728
ALB,2021-02-24,9104
ALB,2021-02-25,10135
ALB,2021-02-26,11136
ALB,2021-03-01,13495
ALB,2021-03-03,15027
ALB,2021-03-04,15793
ALB,2021-03-05,16807
ALB,2021-03-06,18247
ALB,2021-03-08,20275
ALB,2021-03-09,20911
ALB,2021-03-11,22693
ALB,2021-03-12,23635
ALB,2021-03-16,30031
ALB,2021-03-17,33369
ALB,2021-03-18,36323
ALB,2021-03-19,36619
ALB,2021-03-23,48215
ALB,2021-03-24,52050
ALB,2021-03-25,56015
ALB,2021-03-26,59348
ALB,2021-03-27,62858
ALB,2021-03-29,78000
ALB,2021-03-30,100000
ALB,2021-03-31,119321
ALB,2021-04-01,138846
ALB,2021-04-02,155463
ALB,2021-04-03,172486
