id,date,value
AK,2020-12-21,5674
AK,2020-12-22,7118
AK,2020-12-23,8918
AK,2020-12-24,11002
AK,2020-12-26,11845
AK,2020-12-28,12202
AK,2020-12-29,13271
AK,2021-01-01,13772
AK,2021-01-02,18401
AK,2021-01-04,18937
AK,2021-01-05,19050
AK,2021-01-06,20106
AK,2021-01-07,21830
AK,2021-01-08,24562
AK,2021-01-09,25058
AK,2021-01-11,35027
AK,2021-01-12,35838
AK,2021-01-13,38680
AK,2021-01-14,43348
AK,2021-01-15,54946
AK,2021-01-19,69047
AK,2021-01-20,72662
AK,2021-01-21,81836
AK,2021-01-22,89085
AK,2021-01-24,94257
AK,2021-01-25,98137
AK,2021-01-26,101585
AK,2021-01-27,105846
AK,2021-01-28,110400
AK,2021-01-29,115273
AK,2021-01-31,119590
AK,2021-02-01,123448
AK,2021-02-02,125770
AK,2021-02-03,129941
AK,2021-02-04,134006
AK,2021-02-05,139151
AK,2021-02-07,146082
AK,2021-02-08,152871
AK,2021-02-09,156252
AK,2021-02-10,162270
AK,2021-02-11,167432
AK,2021-02-12,175135
AK,2021-02-13,175138
AK,2021-02-14,183831
AK,2021-02-16,193614
AK,2021-02-17,199148
AK,2021-02-18,206682
AK,2021-02-19,217541
AK,2021-02-20,227403
AK,2021-02-21,235141
AK,2021-02-22,238279
AK,2021-02-23,239927
AK,2021-02-24,243650
AK,2021-02-25,249559
AK,2021-02-26,254334
AK,2021-02-27,259538
AK,2021-02-28,264741
AK,2021-03-01,268406
AK,2021-03-02,269941
AK,2021-03-03,273350
AK,2021-03-04,276891
AK,2021-03-05,281467
AK,2021-03-06,288625
AK,2021-03-07,295046
AK,2021-03-08,298144
AK,2021-03-09,302687
AK,2021-03-10,307769
AK,2021-03-11,313365
AK,2021-03-12,318526
AK,2021-03-13,324271
AK,2021-03-14,333357
AK,2021-03-15,337141
AK,2021-03-16,339647
AK,2021-03-17,345987
AK,2021-03-18,351093
AK,2021-03-19,356055
AK,2021-03-20,362698
AK,2021-03-21,372435
AK,2021-03-22,375590
AK,2021-03-23,376555
AL,2020-12-21,4489
AL,2020-12-24,15286
AL,2020-12-29,20354
AL,2020-12-30,26409
AL,2021-01-02,39446
AL,2021-01-04,39564
AL,2021-01-05,42810
AL,2021-01-06,43280
AL,2021-01-07,48888
AL,2021-01-08,57105
AL,2021-01-11,76528
AL,2021-01-12,87138
AL,2021-01-14,92300
AL,2021-01-15,130394
AL,2021-01-18,148685
AL,2021-01-19,158116
AL,2021-01-20,184618
AL,2021-01-21,202643
AL,2021-01-22,223887
AL,2021-01-24,243737
AL,2021-01-25,255291
AL,2021-01-26,266306
AL,2021-01-27,280608
AL,2021-01-28,302269
AL,2021-01-29,323875
AL,2021-01-30,342436
AL,2021-01-31,353974
AL,2021-02-01,359589
AL,2021-02-02,373907
AL,2021-02-03,392624
AL,2021-02-04,413346
AL,2021-02-05,436962
AL,2021-02-06,455173
AL,2021-02-07,462332
AL,2021-02-08,473199
AL,2021-02-09,497705
AL,2021-02-10,523241
AL,2021-02-11,553003
AL,2021-02-12,581317
AL,2021-02-13,601159
AL,2021-02-14,612254
AL,2021-02-16,648987
AL,2021-02-17,663056
AL,2021-02-18,685870
AL,2021-02-19,717477
AL,2021-02-20,776936
AL,2021-02-21,788613
AL,2021-02-22,793614
AL,2021-02-23,815108
AL,2021-02-24,839703
AL,2021-02-25,864757
AL,2021-02-26,893859
AL,2021-02-27,931090
AL,2021-02-28,942502
AL,2021-03-01,948393
AL,2021-03-02,972161
AL,2021-03-03,1000031
AL,2021-03-04,1032171
AL,2021-03-05,1064578
AL,2021-03-06,1099697
AL,2021-03-07,1110132
AL,2021-03-08,1116676
AL,2021-03-09,1140984
AL,2021-03-10,1173820
AL,2021-03-11,1209802
AL,2021-03-12,1249205
AL,2021-03-13,1288242
AL,2021-03-14,1298612
AL,2021-03-15,1306419
AL,2021-03-16,1332298
AL,2021-03-17,1363987
AL,2021-03-18,1390066
AL,2021-03-19,1426696
AL,2021-03-20,1460782
AL,2021-03-21,1472666
AL,2021-03-22,1479271
AL,2021-03-23,1509445
AR,2020-12-21,7597
AR,2020-12-22,12762
AR,2020-12-24,16203
AR,2020-12-28,20730
AR,2020-12-29,22817
AR,2020-12-30,30469
AR,2021-01-02,39235
AR,2021-01-04,40899
AR,2021-01-07,50679
AR,2021-01-08,58914
AR,2021-01-09,65991
AR,2021-01-10,74663
AR,2021-01-11,77854
AR,2021-01-12,80796
AR,2021-01-13,94854
AR,2021-01-14,108316
AR,2021-01-15,118338
AR,2021-01-16,124156
AR,2021-01-17,131390
AR,2021-01-18,137307
AR,2021-01-19,140559
AR,2021-01-20,173312
AR,2021-01-22,201676
AR,2021-01-24,214240
AR,2021-01-25,221095
AR,2021-01-26,236290
AR,2021-01-27,252824
AR,2021-01-29,269993
AR,2021-01-30,288651
AR,2021-01-31,303793
AR,2021-02-01,311230
AR,2021-02-02,314470
AR,2021-02-03,322447
AR,2021-02-04,338227
AR,2021-02-05,351175
AR,2021-02-06,374674
AR,2021-02-07,393445
AR,2021-02-08,401664
AR,2021-02-09,404127
AR,2021-02-10,418054
AR,2021-02-11,430803
AR,2021-02-12,447146
AR,2021-02-13,457386
AR,2021-02-14,472536
AR,2021-02-15,474603
AR,2021-02-16,483438
AR,2021-02-17,486949
AR,2021-02-18,490737
AR,2021-02-19,493776
AR,2021-02-20,520904
AR,2021-02-21,528467
AR,2021-02-22,535413
AR,2021-02-23,540192
AR,2021-02-24,554466
AR,2021-02-25,572553
AR,2021-02-26,597990
AR,2021-02-27,622665
AR,2021-02-28,649311
AR,2021-03-01,661572
AR,2021-03-02,670815
AR,2021-03-03,687433
